# Reynolds:  0.39043E+05
# Mach:  0.38640E+00
#  r/R          c/R          V (m/s)      AoA (deg)    beta (deg)   phi (deg)    Cl           Cd           s factor     Ue (m/s)     dp/ds (Pa/m) delta (m)    delta* (m)   theta (m)    tau_w (Pa)   x trans/c    Ue (m/s)     dp/ds (Pa/m) delta (m)    delta* (m)   theta (m)    tau_w (Pa)   x trans/c
#  0.99014E+00  0.98237E-01  0.20443E+02  0.19159E+01  0.11809E+02  0.96240E+01  0.55690E+00  0.36423E-01  0.81155E-01  0.21075E+02  0.23140E+05  0.17363E-02  0.62427E-03  0.21099E-03  0.45055E+00  0.74467E+00 -0.18152E+02 -0.21675E+04  0.15369E-02  0.28481E-03  0.11537E-03  0.84936E+00  0.93290E+00
#  x/c                -Cp                    delta*/c              theta/c               Cf                    BC
 0.31466498898136E-03 -0.76607651058829E+00  0.30661635007062E-03  0.13407944289135E-03  0.34622774475636E-01  1
 0.81805926242545E-03 -0.64676593218021E+00  0.36934334347589E-03  0.15886088322356E-03  0.36484176580681E-01  1
 0.15729922600740E-02 -0.49170380229359E+00  0.42180063828799E-03  0.18359006533099E-03  0.41584166080537E-01  1
 0.25792739315716E-02 -0.30466511699806E+00  0.43998277969669E-03  0.19384027191342E-03  0.49719576497505E-01  1
 0.38366509508745E-02 -0.11554947817425E+00  0.46189770521930E-03  0.20242333583533E-03  0.54098813658396E-01  1
 0.53448067800247E-02  0.38684268722649E-01  0.50575516962902E-03  0.21743829444235E-03  0.52171802242490E-01  1
 0.71033617488364E-02  0.14579319186153E+00  0.57371440019561E-03  0.24012663079998E-03  0.46038872040565E-01  1
 0.91118731504758E-02  0.20618280576190E+00  0.66300234173354E-03  0.26954544102436E-03  0.38598390335555E-01  1
 0.11369835352910E-01  0.24363948891954E+00  0.75438258943430E-03  0.30130539657186E-03  0.33322010064093E-01  1
 0.13876679926199E-01  0.27909558028353E+00  0.82792618470072E-03  0.33116368918106E-03  0.31146806773008E-01  1
 0.16631775785591E-01  0.32351649696410E+00  0.87843675175477E-03  0.35633231622546E-03  0.31087815831099E-01  1
 0.19634429350400E-01  0.37443582829681E+00  0.92208523935579E-03  0.37841991519641E-03  0.31191448941936E-01  1
 0.22883884718605E-01  0.42222622513439E+00  0.97741122727875E-03  0.40124847281596E-03  0.30094712494718E-01  1
 0.26379323857149E-01  0.45804829853349E+00  0.10511361003118E-02  0.42716377441912E-03  0.27780076463363E-01  1
 0.30119866807873E-01  0.48250891519749E+00  0.11369143047912E-02  0.45588135468410E-03  0.25180284749467E-01  1
 0.34104571909040E-01  0.50131068374173E+00  0.12193318510905E-02  0.48499787850389E-03  0.23251310426334E-01  1
 0.38332436032394E-01  0.52174911668806E+00  0.12839410626156E-02  0.51170038561189E-03  0.22407792969868E-01  1
 0.42802394835693E-01  0.54678567498434E+00  0.13329245586357E-02  0.53550476767384E-03  0.22246447996517E-01  1
 0.47513323030650E-01  0.57331596992015E+00  0.13822211476946E-02  0.55844419340743E-03  0.21980565867949E-01  1
 0.52464034666217E-01  0.59633461604323E+00  0.14431566220261E-02  0.58265228201290E-03  0.21214669729135E-01  1
 0.57653283427148E-01  0.61500231126630E+00  0.15131537151345E-02  0.60833608390821E-03  0.20186671538422E-01  1
 0.63079762947743E-01  0.63181444598951E+00  0.15814876041159E-02  0.63405444081862E-03  0.19322438213855E-01  1
 0.68742107140729E-01  0.64940208379398E+00  0.16411416850119E-02  0.65851637419947E-03  0.18789748561310E-01  1
 0.74638890541154E-01  0.66792954355752E+00  0.16952841919749E-02  0.68190934011608E-03  0.18427420592091E-01  1
 0.80768628665251E-01  0.68580208655936E+00  0.17519652108592E-02  0.70539819763513E-03  0.17993279030763E-01  1
 0.87129778384140E-01  0.70152210570148E+00  0.18145886449845E-02  0.72967311351473E-03  0.17421611435129E-01  1
 0.93720738312309E-01  0.71568282818569E+00  0.18793272861564E-02  0.75432880094778E-03  0.16838010655941E-01  1
 0.10053984921075E+00  0.72944569820333E+00  0.19417360804586E-02  0.77870883554058E-03  0.16346755196384E-01  1
 0.10758539440467E+00  0.74293012386738E+00  0.20032414749021E-02  0.80294051366562E-03  0.15902319280553E-01  1
 0.11485560021564E+00  0.75499057706915E+00  0.20684535164425E-02  0.82771457634278E-03  0.15407618373552E-01  1
 0.12234863640812E+00  0.76524224977660E+00  0.21389125775990E-02  0.85336612371628E-03  0.14849832169536E-01  1
 0.13006261665022E+00  0.77391698261506E+00  0.22121182613907E-02  0.87960520917961E-03  0.14288734227436E-01  1
 0.13799559898857E+00  0.78174093873754E+00  0.22851676042652E-02  0.90600482979310E-03  0.13775435474113E-01  1
 0.14614558633716E+00  0.78875589142237E+00  0.23582889768232E-02  0.93255743500175E-03  0.13299409096108E-01  1
 0.15451052698015E+00  0.79467806521547E+00  0.24341258281035E-02  0.95962414887642E-03  0.12819341540633E-01  1
 0.16308831508836E+00  0.79915380563066E+00  0.25132139751114E-02  0.98730100047560E-03  0.12331415939341E-01  1
 0.17187679124937E+00  0.80287300306024E+00  0.25914647454993E-02  0.10150247043415E-02  0.11891190106738E-01  1
 0.18087374301120E+00  0.80660217804080E+00  0.26652157242637E-02  0.10422322840938E-02  0.11534493907129E-01  1
 0.19007690543921E+00  0.81031773181777E+00  0.27365771002392E-02  0.10691245879173E-02  0.11224521185640E-01  1
 0.19948396168636E+00  0.81328715630722E+00  0.28107379256961E-02  0.10963879754427E-02  0.10899956930488E-01  1
 0.20909254357641E+00  0.81515418169329E+00  0.28911675442551E-02  0.11245502217886E-02  0.10531454472593E-01  1
 0.21890023220013E+00  0.81566594770615E+00  0.29792174997065E-02  0.11538672035810E-02  0.10116913957173E-01  1
 0.22890455852420E+00  0.81473568842697E+00  0.30768275906234E-02  0.11846515074322E-02  0.96519846355361E-02  1
 0.23910300401284E+00  0.81188543065368E+00  0.31861176142729E-02  0.12172137046178E-02  0.91336081566278E-02  1
 0.24949300126180E+00  0.80729969369150E+00  0.33070189200992E-02  0.12515480430761E-02  0.85800173697912E-02  1
 0.26007193464468E+00  0.80109209838451E+00  0.34377226597038E-02  0.12873939572084E-02  0.80178499664180E-02  1
 0.27083714097143E+00  0.79363852129922E+00  0.35777170367584E-02  0.13246223570918E-02  0.74597542895996E-02  1
 0.28178591015877E+00  0.78466439057554E+00  0.37308346834205E-02  0.13635774962573E-02  0.68905417307669E-02  1
 0.29291548591247E+00  0.77395330574515E+00  0.39043283376984E-02  0.14049009572245E-02  0.62858042050942E-02  1
 0.30422306642118E+00  0.76123548642166E+00  0.41018162208204E-02  0.14487186321717E-02  0.56502955957246E-02  1
 0.31570580506183E+00  0.74731981868830E+00  0.43178886488584E-02  0.14942015773593E-02  0.50286864089675E-02  1
 0.32736081111621E+00  0.73272133145036E+00  0.45499127116946E-02  0.15408195267767E-02  0.44403358389541E-02  1
 0.33918515049870E+00  0.71720437045399E+00  0.48234395310064E-02  0.15901418847479E-02  0.38138752070828E-02  1
 0.35117584649495E+00  0.70007185903091E+00  0.52055744601544E-02  0.16453076350935E-02  0.30181475520395E-02  1
 0.36332988051118E+00  0.68253366809919E+00  0.58191013289500E-02  0.17075033516785E-02  0.19393677260306E-02  1
 0.37564419283416E+00  0.66783922486297E+00  0.67848256742573E-02  0.17725041411947E-02  0.71719560095071E-03  1
 0.38811568340144E+00  0.65778115331147E+00  0.69588183738804E-02  0.18051119847354E-02  0.63150991980656E-03  1
 0.40074121258179E+00  0.65224837996288E+00  0.70875658227224E-02  0.18267259138116E-02  0.55404526279894E-03  1
 0.41351760196559E+00  0.64910940806875E+00  0.71854895250511E-02  0.18402578737934E-02  0.47614523682786E-03  1
 0.42644163516494E+00  0.64718093359416E+00  0.72751238760048E-02  0.18493182544652E-02  0.38894155574413E-03  1
 0.43951005862344E+00  0.64575252425549E+00  0.73633223455855E-02  0.18565143756754E-02  0.31390202629804E-03 -1
 0.45271958243516E+00  0.64468023266912E+00  0.74109305955322E-02  0.18612447025082E-02  0.28281466992339E-03 -1
 0.46606688117296E+00  0.64381860129823E+00  0.74528825411286E-02  0.18651211793647E-02  0.25495786872551E-03 -1
 0.47954859472556E+00  0.64308311119977E+00  0.74900380869319E-02  0.18684207354168E-02  0.23028277588011E-03 -1
 0.49316132914349E+00  0.64239374624704E+00  0.75230091658570E-02  0.18714071868346E-02  0.20899919926417E-03 -1
 0.50690165749346E+00  0.64171982077293E+00  0.75522691847692E-02  0.18742315359030E-02  0.19107243782493E-03 -1
 0.52076612072110E+00  0.64104693107010E+00  0.75782156947282E-02  0.18769785596464E-02  0.17632242771691E-03 -1
 0.53475122852174E+00  0.64037118010482E+00  0.76012321108014E-02  0.18796823362202E-02  0.16441719818119E-03 -1
 0.54885346021908E+00  0.63969197656400E+00  0.76217369699471E-02  0.18823607659348E-02  0.15495100527788E-03 -1
 0.56306926565152E+00  0.63900884773804E+00  0.76401400982878E-02  0.18850235030962E-02  0.14751427605787E-03 -1
 0.57739506606585E+00  0.63832213505098E+00  0.76568381350081E-02  0.18876779970946E-02  0.14171904830110E-03 -1
 0.59182725501823E+00  0.63762998603733E+00  0.76721813894396E-02  0.18903300757678E-02  0.13722831134724E-03 -1
 0.60636219928208E+00  0.63692544087754E+00  0.76864658896133E-02  0.18929839110946E-02  0.13375977818449E-03 -1
 0.62099623976269E+00  0.63615323299676E+00  0.76999372852294E-02  0.18956427748708E-02  0.13107868710982E-03 -1
 0.63572569241844E+00  0.63510815952185E+00  0.77127959037529E-02  0.18983096380163E-02  0.12898505622628E-03 -1
 0.65054684918818E+00  0.63266490170523E+00  0.77252036468485E-02  0.19009875321049E-02  0.12724732633068E-03 -1
 0.66545597892474E+00  0.62573976484922E+00  0.77374310707281E-02  0.19037147901570E-02  0.12551587025837E-03 -1
 0.68044932833424E+00  0.60314644166409E+00  0.77500435991755E-02  0.19066108858853E-02  0.12284958758537E-03 -1
 0.69552312292093E+00  0.54750093366538E+00  0.77671147225558E-02  0.19106760738015E-02  0.11782507175938E-03 -1
 0.71067356793742E+00  0.43150008987118E+00  0.78008380560281E-02  0.19189388034236E-02  0.10823840358828E-03 -1
 0.72589684934000E+00  0.26914560701432E+00  0.79058747095992E-02  0.19449894066363E-02  0.94666191085524E-04 -1
 0.74118913474876E+00  0.12581570414059E+00  0.54300071328722E-02  0.20138305415155E-02  0.13847719813212E-02 -1
 0.75654657441241E+00  0.64105569289696E-01  0.47409519381248E-02  0.21699294230094E-02  0.29353218401193E-02 -1
 0.77196530217744E+00  0.66242791574030E-01  0.89795540422136E-02  0.26679426900008E-02  0.29778669373380E-03 -1
 0.78744143646137E+00  0.76250635613280E-01  0.12547565884964E-01  0.37373751727974E-02  0.24773453240876E-03 -1
 0.80297108122994E+00  0.66943322192727E-01  0.17360717661236E-01  0.51744863937065E-02  0.20467059862041E-03 -1
 0.81855032697790E+00  0.42052666303215E-01  0.20749489748095E-01  0.61786443040955E-02  0.18065786412814E-03 -1
 0.83417525171325E+00  0.16980193170483E-01  0.18455454586308E-01  0.63427561472910E-02  0.50544408632583E-03  2
 0.84984192194451E+00  0.27932777457567E-02  0.18913795364821E-01  0.61788193223171E-02  0.12195982177178E-04  2
 0.86554639367101E+00 -0.52953303231837E-03  0.19754866334770E-01  0.61369931392161E-02  0.99539234721812E-05  2
 0.88128471337577E+00  0.58661882984582E-03  0.21189834338205E-01  0.63274137014325E-02  0.82335118606848E-05  2
 0.89705291902074E+00  0.25197190099427E-02  0.22479784119362E-01  0.67137014106738E-02  0.72512812159994E-05  2
 0.91284704104426E+00  0.38724058054035E-02  0.24191629171613E-01  0.72281822335228E-02  0.75159412412933E-05  2
 0.92866310336034E+00  0.45805036207418E-02  0.26016685318477E-01  0.78187910298084E-02  0.21607639220102E-04 -2
 0.94449712435965E+00  0.49537020804118E-02  0.28074534710921E-01  0.84171887998805E-02  0.00000000000000E+00 -2
 0.96034511791188E+00  0.51481922430835E-02  0.29858458144861E-01  0.89326986184583E-02  0.00000000000000E+00 -2
 0.97620309436915E+00  0.52512490811186E-02  0.31352143695370E-01  0.93616160011638E-02  0.00000000000000E+00 -2
 0.99206706157050E+00  0.53544548877237E-02  0.32705712547239E-01  0.97657906390721E-02  0.00000000000000E+00 -2
