# Reynolds:  0.43027E+05
# Mach:  0.27187E+00
#  r/R          c/R          V (m/s)      AoA (deg)    beta (deg)   phi (deg)    Cl           Cd           s factor     Ue (m/s)     dp/ds (Pa/m) delta (m)    delta* (m)   theta (m)    tau_w (Pa)   x trans/c    Ue (m/s)     dp/ds (Pa/m) delta (m)    delta* (m)   theta (m)    tau_w (Pa)   x trans/c
#  0.69173E+00  0.15387E+00  0.14384E+02  0.54519E+01  0.15449E+02  0.97883E+01  0.93595E+00  0.36667E-01  0.98538E-01  0.14722E+02  0.52510E+04  0.33656E-02  0.14867E-02  0.48127E-03  0.27363E+00  0.63090E+00 -0.13020E+02 -0.12090E+04  0.68677E-03 -0.26508E-03 -0.34476E-04  0.34023E+00  0.10000E+01
#  x/c                -Cp                    delta*/c              theta/c               Cf                    BC
 0.59182725501823E+00  0.95519126454000E+00  0.13029460309242E-01  0.32210500865223E-02  0.11541961727590E-03 -1
 0.60636219928208E+00  0.95492231401101E+00  0.13073658965668E-01  0.32302852223726E-02  0.11269937568673E-03 -1
 0.62099623976269E+00  0.95465470148444E+00  0.13095274680953E-01  0.32341477153722E-02  0.11031579700747E-03 -1
 0.63572569241844E+00  0.95437824291431E+00  0.13109440928753E-01  0.32363291453038E-02  0.10816451262331E-03 -1
 0.65054684918818E+00  0.95403490943418E+00  0.13121035422161E-01  0.32379976242771E-02  0.10620087057895E-03 -1
 0.66545597892474E+00  0.95341209130357E+00  0.13131784334645E-01  0.32395635488910E-02  0.10439326948020E-03 -1
 0.68044932833424E+00  0.95135071936229E+00  0.13142062743184E-01  0.32411089423737E-02  0.10267074536409E-03 -1
 0.69552312292093E+00  0.94468311389441E+00  0.13151919529010E-01  0.32426383763761E-02  0.10086770036653E-03 -1
 0.71067356793742E+00  0.92200308659100E+00  0.13161317552929E-01  0.32441360740905E-02  0.98422624453770E-04 -1
 0.72589684934000E+00  0.86610697208874E+00  0.13170225501516E-01  0.32455881087275E-02  0.94513839863786E-04 -1
 0.74118913474876E+00  0.75204932261001E+00  0.13178656006355E-01  0.32469917206072E-02  0.87973038177830E-04 -1
 0.75654657441241E+00  0.59923678008222E+00  0.13186657076995E-01  0.32483532590268E-02  0.79772862810078E-04 -1
 0.77196530217744E+00  0.46933901679641E+00  0.11372419859782E-01  0.32502794936479E-02  0.35910196656380E-03 -1
 0.78744143646137E+00  0.40238242183013E+00  0.10508759366134E-01  0.32558972356359E-02  0.78745456185772E-03 -1
 0.80297108122994E+00  0.35258558317986E+00  0.10098130951458E-01  0.32655871875841E-02  0.12637557073121E-02 -1
 0.81855032697790E+00  0.25435535289251E+00  0.98677169646048E-02  0.32789546977806E-02  0.17486886794898E-02 -1
 0.83417525171325E+00  0.94909676041648E-01  0.97306397344984E-02  0.32953477548068E-02  0.21484633250149E-02 -1
 0.84984192194451E+00 -0.47730365756274E-01  0.76157746675442E-02  0.33147212347612E-02  0.27211439586005E-02  2
 0.86554639367101E+00 -0.10336446690909E+00  0.64197022246502E-02  0.33409938609945E-02  0.34348167155195E-02  2
 0.88128471337577E+00 -0.10203580945633E+00  0.58893724633582E-02  0.33758305238527E-02  0.40847675710329E-02  2
 0.89705291902074E+00 -0.85968363335135E-01  0.56258376126926E-02  0.34224655753248E-02  0.46526741310820E-02  2
 0.91284704104426E+00 -0.78827987453966E-01  0.55622486882329E-02  0.34993360421327E-02  0.49944618472168E-02  2
 0.92866310336034E+00 -0.82055781331910E-01  0.57934536586009E-02  0.36602985696872E-02  0.49330818210323E-02  2
 0.94449712435965E+00 -0.89090283622193E-01  0.67793145455308E-02  0.40586539411172E-02  0.41220881884245E-02  2
 0.96034511791188E+00 -0.96102639855311E-01  0.13856615992100E-01  0.54417072669023E-02  0.12353327769121E-02 -2
 0.97620309436915E+00 -0.10115308459574E+00  0.34569322025057E-01  0.10511023532227E-01  0.52135683033862E-04 -2
 0.99206706157050E+00 -0.10618842018696E+00  0.83560378375700E-01  0.25119783309348E-01  0.00000000000000E+00 -2
